Anonymous ID,Were you present for class on 9/10?,Select the Sampler which most closely aligns with your initial approach (at the end of part a) to modeling the amount of hearts obtained within a hand of 10 cards.,Survey_Model,Survey_NE,"If your sampler functionally differed from the one you chose above, describe how.",How does your chosen sampler relate to your personal narrative of this context?,"Choose the sampler which best aligns with the one you chose to carry out the simulation within Activity 3B. If none of the options match the type of sampler chosen for the activity (your sampler visually looks different), choose the one which is functionally similar.","If your sampler functionally differed from the one you chose above, describe how.","Upon observation of the given device, what about this sampler appeals to you? What doesn't appeal to you?",Describe how talking about this device in class did (or didn't) support your learning in class.,"Upon observation of the given device, what about this sampler appeals to you? What doesn't appeal to you?",Describe how talking about this device in class did (or didn't) support your learning in class.,"Upon observation of the given device, what about this sampler appeals to you? What doesn't appeal to you?",Describe how talking about this device in class did (or didn't) support your learning in class.,AW1,AW2,AW3,AW4,AW5,TM1,TM2,TM3,TM4,TM5,CA1,CA2,CA3,CA4,CA5,TH1,TH2,TH3,TH4,TH5
1,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,"Functionally, the sample that we thought of was essentially the exact same as the one that was chosen here.",Our sampler related to narrative for this context because we adjusted each element to have an even percentage of being pulled. Exactly like how it is when you actually pull form a deck of cards in person.,"A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",,What appeals to me is how clearly the sampler divides the the results visually. ,Talking about this device in class certainly was beneficial because we were able to understand the processes that this sampler goes through and how it calculates its results. Which made the choosing which sampler to use easier.  ,The clarity of what we care about (the heart) is what appeals to me. What doesn't appeal to me  is the ambiguity of everything that isn't the results that we care about. ,Talking about this in class made me realize being simple enough to get the results you need is always okay.,I like how clear and specific the sampler gets. ,Talking about this in class was good because it was an example of how much further you could take the samplers.,8,10,8,9,7,9,8,9,9,9,9,8,8,7,9,9,8,8,9,8
6,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,NA,I picked this sampler because it was most intuitive for me to design a stack for each kind of card suite and use that to apply 13 cards per suite. ,"A single device with two options: heart or not heart, sampled without replacement. ","This sampler functionally differed from the previous one because, instead of creating a stack for each suite, we are only looking to count hearts and therefore only create two stacks: one heart and another non-hearts. ",I like this sampler because it is very specific about each kind of suite you can draw. What doesn't appeal to me so much anymore about this device is that for the purpose of only counting hearts it probably gives too much information and it would probably be a lot easier to just look at hearts/non-hearts. ,"Talking about this device in class supported my learning because it was the device I had initially come up with on my own. After discussing it in class and going through the activities, I realized it would be a lot easier to simplify the device to hearts/non-hearts.","What appeals to me about this device is that it is very simple and easy to understand. Moreover, it will give us far simpler results to read and total in comparison to the 4 stacks device we looked at previously. ",Talking about this device in class supported my learning because when I was still using the 4 stack device I had to do a lot more steps and it was a lot harder to count how many hearts I had drawn. In comparison this device really simplified that process allowing me to more clearly think about the results of the drawings. ,"I really do not like this device at all. I feel like there is far too much going on, and it confuses me despite the fact that I have a pretty good idea of what it is simulating. ",Talking about this device in class did not necessarily support my learning. I found this device to be far too complicated which makes it difficult for me to visualize the results and understand what is going on. ,10,9,9,10,9,9,9,8,9,9,7,10,10,10,9,9,9,10,10,9
7,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,"I just imagined a deck of cards and remembered that theres four suits, so I tried to make it as similar to my mind as possible","A single device with two options: heart or not heart, sampled without replacement. ",My partner actually had this idea and I felt like it was quicker to create,"I really like this sampler, it's realistic and well labeled.",it tested my beliefs in the prework.,"It's quick to create, however it doesn't help me visualize and isn't as realistic as the other sampler",It supported my learning by reminding me to only focus on the necessary suit.,"It's hard to build, time consuming, but I feel like it's very realistic and would aid in a different type of sampling.","I didn't use this sampler, but it helped me learn more advanced sampling methods for next time.",3,3,4,5,6,5,4,5,5,4,5,6,5,6,6,6,5,6,8,5
9,"No, I was not present, but I have worked through this activity on my own.",A single device with all four suits sampled without replacement. ,2,1,,"I know that in the 52-card deck, there are 13 cards of each suit (Spades, Hearts, Diamonds, and Clubs), so I wanted to cover all these possibilities in my sampler by representing each suit individually.",A single device with all four suits sampled without replacement. ,,a,a,,,,,10,7,10,9,8,9,9,9,9,10,10,9,9,9,9,8,8,8,8,10
10,"Yes, I was present and completed the Coins/Cards activity.","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",3,1,,"We are drawing ten cards from the 52-card deck, so we should not have replacements. ","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ","I just did a mixer of 52 choices, because the setup with branches disable draw button. Still, I ran it with no replacement.","For the experiment only asked about the suit, not the number, this seems appealing. We just need the number of cards that are hearts.","It helped me to understand the sampling visually, and I think I will be able to use this in other classes.",It is similar to the one before; for sure this is appealing too.,Same with the one before,"This is not really appealing, for I can't change the number of draws.",Just the same with the one before,8,8,7,8,7,7,7,6,6,7,7,7,7,7,7,7,6,7,5,7
11,"Yes, I was present and completed the Coins/Cards activity.","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",3,1,,I believed that this is the best way to visually see how each trial is completed,"A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",,This sampler is easy to follow and more straightforward to look at. But it doesn't include any values of each suit.,It made me to better understand TinkerPlots and how statistics is used in daily lives settings,"What appeals to me about this sampler is that it gives a clear and simple way to visualize probability. However, the interface can feel a little crowded and may be confusing at first glance. The labels and bars are somewhat basic, and it might not immediately communicate the underlying math","It gave me a visual and interactive way to connect probability concepts with something concrete. Instead of just hearing formulas or numbers, I could see how the outcomes of “heart” versus “not heart” played out through repeated trials.","I like that it visually breaks down the structure of the deck, showing both the suits and their individual values, which helps clarify the logic behind probability calculations. But, having multiple forks and separate sections for each suit could make it harder to quickly interpret results.","It helped me because it broke down the process of probability into smaller, more understandable steps.",3,5,5,5,4,6,5,5,5,5,5,5,5,5,5,5,5,7,7,7
12,"Yes, I was present and completed the Coins/Cards activity.",A linked sampler that has two devices sampling without replacement: one for the suits and one for the value.,5,1,,"I first thought I needed to represent the real world scenario by showing all of the possible outcomes. However, it method is not accurate, it would draw the same card up to 4 times. ","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",,"It's nice and simple, there won't be any potential mistakes that you can make, and fully fulfil the requirement. However, it doesn't show what value you get, so it can't reflect the real world scenario.","It supports my learning in class, and it shows how without replacement sampling would be operated.",This uses the idea of the Hypergeometric Distribution; it perfectly does the work. But it doesn’t immediately show how probabilities shift as cards are removed,This device supports my learning in class because it provides me with a hands-on example that I can see and interpret,"It shows the two-stage process of picking a card really clearly—first the suit, then the value. It makes it easy to see how probabilities build step by step. What doesn’t appeal to me is that the setup looks a little complicated at first.",It helped me understand how compound probability works when there are multiple steps.,3,3,9,7,5,1,0,0,0,0,5,6,6,6,5,6,4,6,3,4
15,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,"As you pick cards, there are less cards availible in that suit, and hence lower probability of picking it again.","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",,I can easily see and walk through different scenarios and see how the number of bars for each suit corresponds to it's relative probability. I don't have anything that does not appeal to me.,"I was able to get a better idea of how this device actually worked, and compared this against other options, learning what the strengths of this sampler was.",I don't like how it just compared heart and not any other suit. It doesn't give that much information about the draws. This could be appealing because it allows for less variables and hence simpler calculations.,"I was able to understand why some people may find this more appealing than I initially did, which opened me up to other perspectives on the usefulness of this sampler.","I feel like it is unnecssarily complicated - knowing which specific cards remain in each suit isn't particulary important, rather the number of cards. However, it is appealing in the sense that you have more clarity on the trial and can compare trials, and can use this sampler for more functionality in general.",I was able to better understand how the sampler worked because I initially found it a little bit confusing.,6,6,6,7,8,5,6,6,7,5,9,5,8,6,4,9,4,6,6,6
16,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,N/A.,"I wanted my sampler to mimic as closely as possible the real action of drawing a card, but I initially failed to consider that I needed to track not only the suit, but also the specific card within the suit which was drawn","A device that samples the suit without replacement, which then determines one of four forks to then determine the value without replacement. ",,"I like it because it has most of the traits to carry out the test, but I would prefer that it drew 10 and repeated once to model non-replacement. ",It was real helpful to see the approaches to this problem and see how my approach could be improved.,"I don't like it because it feels somewhat lazy, but it does technically get the task done, except for the fact that it doesn't model non-replacement. ",I don't really remember discussing this one.,I really like how accurately it exemplifies the situation. ,I think it showed how useful. chained samplers could be.,7,7,7,5,2,4,0,0,6,4,8,6,2,8,6,9,9,10,10,8
17,"Yes, I was present and completed the Coins/Cards activity.",A single device with all four suits sampled without replacement. ,2,1,,"It helped me visualize the 4 different suits of cards and each individual card. Personally, that is how I'd visualize and separate cards-into 4 groups, so this sampler helped do that.",A single device with all four suits sampled without replacement. ,,The organization of the 4 suits and 13 cards appeals to me. ,"Talking about it taught me how to use it, helping me learn. The hands-on portion (making my own sampler) helped me to learn most, though.","I don't like how this sampler doesn't separate all 4 suits of cards. Also, I'd prefer to see the 13 individual cards in each stack; that visualization just helps me connect my real-world knowledge of cards with the experiment about cards. With only two sections, it doesn't ""seem"" as though we are studying cards. ",It helped me learn a new way to use the sampler. ,"I like the organization of the stacks and mixers. However, it is a little too busy; I'd prefer to just see the stack instead of both the stack and the mixers.","Again, talking about this helped me learn of a different way to use these samplers.",8,10,9,6,7,10,9,9,8,8,9,9,8,10,10,8,7,8,6,8
