Anonymous ID,Q16,Q19_1,Q19_2,Q19_3,Q4,Survey_Model,Survey_NE,AW1,AW2,AW3,AW4,AW5,TM1,TM2,TM3,TM4,TM5,CA1,CA2,CA3,CA4,CA5,TH1,TH2,TH3,TH4,TH5,Q17,Q18,Q5,Q6,Q8,Q9,Q11,Q12,Q14,Q15,Q20_1,Q20_2,Q20_3
1,"Yes, I was present and completed the NFL activity.",3,2,1,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,8,10,8,9,7,9,8,9,9,9,9,8,8,7,9,9,8,8,9,8,Ours was essentially the same.,Our chosen sampler relates to the personal narrative of the context by keeping the 50/50 fairness that is discussed in the context.,"A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",Functionally ours was the same. ,Very concise. ,"Talking about this solidified the fact that samplers can very very simple yet effective.
","This is very clear, but the second spinner is not necessary in my opinion. ",This supported my learning by showing a different perspective.,I don't like how the game outcome is decided before the coin flip.,Showing this in class supported my learning by expressing the idea that both of the individual outcomes are indeed arbitrary and what matters in the connection between the two.,1,2,3
3,"Yes, I was present and completed the NFL activity.",1,3,2,"A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",3,0,7,5,8,8,7,8,7,7,8,8,7,7,8,8,6,7,7,8,8,9,,think simple,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,"doesn't quite take into account the factor of winning the coin toss, don't like it.",it helped because I was able to understand how others were thinking,"awesome, considers a lot of things",most people agreed,looks reversified but interesting,not quite discussed,1,2,3
4,"Yes, I was present and completed the NFL activity.",3,2,1,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,"I believed that while the odds are all even, to accommodate for potential favorable odds, 2 separate spinners was useful.","A device that first determines if a team wins or loses the game, and then determines if that team wins or loses the coin flip. ",,"I like how it allows us to visualize if the coin flip winner won or lost but I don't like how its so specific, it might be good to be able to get the coin flip losers perspective",It did support my learning because it helped me visualize everything much better,We can easily separate the coin flip and the game outcome but it is trickier to read the data,This was my chosen method as it covered all bases,This has the coin flip and the game outcome flipped which I dont like as it isnt in chronological order.,This would make it harder to visualize the probability,2,1,3
8,"Yes, I was present and completed the NFL activity.",3,2,1,"A singular device that determines a coin flip winner, Team A or Team B, sampled with replacement.",1,0,6,5,7,5,7,9,9,9,9,8,7,8,9,9,9,8,8,9,9,9,It doesn't really function different. ,"I don't particularly know what you mean by personal narrative. Assuming the question is about why I chose the sampler, I chose it because you win the coin flip or lose the coin flip and the odds of that happening in a fair sample shouldn't effect whether or not you win the game, so we really would only need to sample the coin flip (I do realize this reasoning is flawed).","A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,"It's a simple device that models the data in the way we want it to. We want to see that, out of the coin flip winners, who won the game. I don't particularly like that it automatically assumes that this data is for who one the coin flip, I think it could be handy to see data for who lost the coin flip as well and what their outcome of the game is (even though it can be inferred).","This supported my learning because it makes it clear to me that there is always a coin flip winner so for this simulation, we can just assume a given team won the coin flip and we can then determine if they won the game or not. ","I like how this sample is a little more accurate to the real world: There are coin flip losers. 
On the other hand its a little more complicated of a sampler. ","This supported my learning because I had ideas in my head about what type of data I wanted to collect, (Ie. I wanted to get data on who won and lost the flip and who won or lost the game). This sampler articulated those ideas into a simulation. ","I do like how this is similar to the other one in that it is a joined spinner, I however don't like how we start with the game outcome. Chronologically in the game, the flip comes before the game result. ","This kind of supported my learning. It shows that in a fair system winning or losing the coin flip and winning or losing the game are two independent things, so it really shouldn't matter what goes first: the flip or the result. ",2,1,3
9,"Yes, I was present and completed the NFL activity.",1,2,3,"A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",3,0,10,7,10,9,8,9,9,9,9,10,10,9,9,9,9,8,8,8,8,10,"Our sampler looked like the one selected above, but our labels differed in that they were more specific - for the first spinner it said ""1 Won Toss"" or ""2 Won Toss"" for the team that won the coin toss, for the second spinner it said ""1 Won Game"" or ""2 Won Game"" for the team that won the game.","This sampler effectively covers all four possible broader outcomes - that Team 1 wins both the toss and the game, Team 1 wins the toss but not the game, Team 2 wins the toss but not the game, and Team 2 loses both the toss and the game.","A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.","Our labels said ""1 Won Toss"" and ""2 Won Toss"" for the first spinner; our labels said ""1 Won Game"" and ""2 Won Game"" for the second spinner.","What appeals to me is that you can easily see when the coin flip winner wins the game (it's just one section/area). However, in this sampler you can't see which team won the flip and which won the game, which could be important - you can only see whether the coin flip winner won or lost the game.",It helped me by highlighting how sometimes the most basic/simplest samplers only work in very specific scenarios and slightly more complex samplers may be better when trying to track multiple statistics instead of just one.,,,,,,,
11,"Yes, I was present and completed the NFL activity.",3,2,1,,,,3,5,5,5,4,6,5,5,5,5,5,5,5,5,5,5,5,7,7,7,,This is a easier way to visually interpret the data,"A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",,This is easier to observe,This can't lose some results and not achieving the objectives,This is quicker and straightforward way to observe the results,This can lose some objectives of our investigation,Same as the last device,Same as the last device,3,1,2
12,"Yes, I was present and completed the NFL activity.",2,3,1,"A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",3,0,3,3,9,7,5,1,0,0,0,0,5,6,6,6,5,6,4,6,3,4,,"If the original rule is fair, there should only be two outcomes, with each team having a 50% chance of winning or losing. So, a spinner with two options perfectly fulfills that condition.","A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",,"appeal: clean 50/50 model, 428 draws, with replacement
doesnt: oversimplifies, assumes independence and constant p across games","It shows null model (p=0.5), 428 draws with replacement, and how the sampling distribution gives a p-value.","appeal: shows the real sequence, makes conditional probability
doesnt: if both are 50/50 then it would just be redundant",shows the P(win toss ∩ win game),"appeal: shows that if events are independent, order doesn’t change the model
doesnt: backwards from real chronology",shows independence vs. causation,1,2,3
13,"Yes, I was present and completed the NFL activity.",2,3,1,"A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",3,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,My attribute is the winner of the game.,"The proportion of teams winning and losing the coin flip is always fifty-fifty, so I use the winner of the game as the attribute to let changing the angle of the spinner and simulate a unfair rule become possible.","A singular device that determines the game outcome of the coin-flip winner, win or lose, sampled with replacement.",I still use the winner of the game as attribute.,It simplified the question and lose no information. But I prefer using the winner of the game as the attribute.,"Actually I'm a little bit confused by other devices, since simulating the coin flipping process is meaningless due to the fact that it has to be a fifty-fifty event.",It is too complicated and simulate the coin flip process is unecessary.,It reminds me that there's actually 2 process in this scenario,The devices' order is different from the time order of attribute.,It reminds me that we can simulate it with a perspective of a specific team.,1,2,3
20,"Yes, I was present and completed the NFL activity.",2,1,3,"A singular device that determines a coin flip winner, Team A or Team B, sampled with replacement.",1,0,5,6,4,4,5,6,6,6,6,6,7,7,5,6,6,6,7,6,5,6,,"I first understood it that the grouping could be with winners of coin toss and winning game vs everything else, so just having it be winnning the game v not made sense to have just one spinner for","A device that first determines if a team wins or loses the game, and then determines if that team wins or loses the coin flip. ",Different labels,"I like how it is simple, but I really don't like the naming conventions. Which team is winning the game???",Talking about this spinner helped me understand the importance of properly naming a device,"I appreciate the two spinners for clarity reasons. How each is labeled for either event, coin flip and game outcome. I don't like the naming of the atribures in the device, i think 'team 1' and 'team' 2 is better than Win/Lose",Helped me understand how having multiple spinners can be better for visual representations of sequences of events,"Same as before for why it appeals  - 2 spinners nice for clarity. I do not like how the first spinner is for game outcome, since the coin flip comes before the result of the game.",Helped me understand the importance of having devices be accurate in terms of a timeline of events.,3,1,2
22,"Yes, I was present and completed the NFL activity.",3,1,2,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game. ",2,1,8,8,10,10,8,10,9,9,8,8,9,8,9,9,7,10,8,7,6,10,,two outcomes so two spins,"A device that first determines if a team wins or loses the coin flip, and then determines if that team wins or loses the game.",,same chance to win or lose,let me think more directly,"one team's result in a single game
not seperate",it's my initial thought,same as the last one,different way to solve this question,1,2,3
