Anonymous ID,Were you present for class on 9/24?,Select the Sampler which most closely aligns with your initial approach to modeling Jasmine if she were randomly guessing the correct note the teacher played,Survey_Model,Survey_NE,"If your sampler functionally differed from the one you chose above, describe how.",How does your chosen sampler relate to your personal narrative of this context?,"Choose the sampler which best aligns with the one you chose to carry out the simulation within Activity 5B. If none of the options match the type of sampler chosen for the activity (your sampler visually looks different), choose the one which is functionally similar.","If your sampler functionally differed from the one you chose above, describe how.","Upon observation of the given device, what about this sampler appeals to you? What doesn't appeal to you?","Describe how talking about this device in class either did, or didn't, support your learning in class.","Upon observation of the given device, what about this sampler appeals to you? What doesn't appeal to you?","Describe how talking about this device in class either did, or didn't, support your learning in class.",Which of the following samplers do you prefer more for generating data for the Music Notes scenario?,Describe how talking about this device in class did (or didn't) support your learning in class.,"Upon observation of the given device, what about this sampler appeals to you? What doesn't appeal to you?",Describe how talking about this device in class did (or didn't) support your learning in class.,AW1,AW2,AW3,AW4,AW5,TM1,TM2,TM3,TM4,TM5,CA1,CA2,CA3,CA4,CA5,TH1,TH2,TH3,TH4,TH5
3,"Yes, I was present and completed the Music Notes activity.","A mixer sampler with replacement containing one ball to represent a correct guess, and another ball representing an incorrect guess. ",5,0,n/a,"simple and clear, 1 spinner is all I needed","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ","not quite, same approach",simple sampler accurately depicts if you Jasmine's guessing or no,It helped because professor was able to give an example of another 2 spinner example which broadened our thinking,more detailed,better thinking,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",Talking about this in class made me realize being simple enough to get the results you need is always okay.,I like how clear and specific the sampler gets. ,Talking about this in class was good because it was an example of how much further you could take the samplers.,7,5,8,8,7,8,7,7,8,8,7,7,8,8,6,7,7,8,8,9
7,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",2,1,"Mine was just one spinner with seven options, one correct and six incorrect.","Jasmine had seven choices and if she was guessing, she would have a 1/7 chance of being correct.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",,I like that it's simple and it has replacement. ,Talking about this device did support my learning because it showed me a different perspective because my original sampler was different.,It's complex and the data collected is difficult to read,It did support my learning because it helped me understand a new perspective because my original sampler was different,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",Talking about this device in class supported my learning because when I was still using the 4 stack device I had to do a lot more steps and it was a lot harder to count how many hearts I had drawn. In comparison this device really simplified that process allowing me to more clearly think about the results of the drawings. ,"I really do not like this device at all. I feel like there is far too much going on, and it confuses me despite the fact that I have a pretty good idea of what it is simulating. ",Talking about this device in class did not necessarily support my learning. I found this device to be far too complicated which makes it difficult for me to visualize the results and understand what is going on. ,3,3,4,5,6,5,4,5,5,4,5,6,5,6,6,6,5,6,8,5
11,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,Same as above sampler.,"We choose to use stacks instead of using spinners to perform the 1/7 chance of getting the note correct. We have six stacks for Wrong and one stack for Right, with replacement and repeat 10 times.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",Same as the above sampler.,This is the easiest way to visually perform each trail and get the most accurate percentage of correctness.,"It supports that the # of correct guesses, so that we can compare the distribution of the # of correct guesses against the result of 7/10 to see how likely it is to get a result as or more extreme if Jasmine were truly guessing randomly.",It is a bit more complicated than the previous one and less efficient.,We didn't use this sampler because the other one is quicker and more straightforward.,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",,,,3,5,5,5,4,6,5,5,5,5,5,5,5,5,5,5,5,7,7,7
12,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,,Since the only thing we care about is whether she got the right answer. So having 2 options is good enough for the task.,"A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",,"I like that the stacks sampler makes the 1 correct vs 6 incorrect odds obvious and lets me simulate a 10-note, with-replacement test fast.","it nailed down the null model, why we use replacement(independence)","it mirrors the real process and makes the seven equal options explicit. What I dont like is that it requires more setup/clutter, easier to mislink","it clarified the linking order, with replacement independence","A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",Same with the one before,"This is not really appealing, for I can't change the number of draws.",Just the same with the one before,3,3,9,7,5,1,0,0,0,0,5,6,6,6,5,6,4,6,3,4
15,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",2,1,,"If you are guessing, you want to see if your guessed note matches with the actual note.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",,It appeals that you don't have to do a join in the final results you can just record correct or incorrect. I don't like that I have to manually set up 6 stacks for incorrect.,I saw another perspective on looking on experiments to make them easier - how to avoid complex measures like joins and keep it effecient.,"It is easy to understand becauyse it is a direct comparision of two random events. However, i don't like that for doing the results obervation that I have to do join statements and etc. for finding results.",It saw the flaws that being not effecient could do for your manual work down the line.,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ","It gave me a visual and interactive way to connect probability concepts with something concrete. Instead of just hearing formulas or numbers, I could see how the outcomes of “heart” versus “not heart” played out through repeated trials.","I like that it visually breaks down the structure of the deck, showing both the suits and their individual values, which helps clarify the logic behind probability calculations. But, having multiple forks and separate sections for each suit could make it harder to quickly interpret results.","It helped me because it broke down the process of probability into smaller, more understandable steps.",6,6,6,7,8,5,6,6,7,5,9,5,8,6,4,9,4,6,6,6
16,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,,"I felt like I wanted to get as accurate of. measurement as possible, so I didn't want to round of the values in the spinner, so the stacks were the first thing I thought of.  ","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",,"I like how it simplifies the situation into boxes, because they feel analogous to cards being picked form. a deck. ",I liked how Professor Clement explained all the different samplers that could be used and then showed they were all pretty much equivalent,"I like it, but it feels overcomplicated",It supported it because it allowed us to see how to use formulas for counting ,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ",This device supports my learning in class because it provides me with a hands-on example that I can see and interpret,"It shows the two-stage process of picking a card really clearly—first the suit, then the value. It makes it easy to see how probabilities build step by step. What doesn’t appeal to me is that the setup looks a little complicated at first.",It helped me understand how compound probability works when there are multiple steps.,7,7,7,5,2,4,0,0,6,4,8,6,2,8,6,9,9,10,10,8
18,"Yes, I was present and completed the Music Notes activity.","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note. ",1,0,"The only difference is mine was a spinner while the one chosen was stacks, otherwise everything else was the same.","I will always choose the most efficient, easy to set up, easy to analyze method of collection possible. It only has two outcomes, correct or incorrect, with only one sampler device. ","A stacks sampler without replacement which has one stack to represent a correct note, and another to represent an incorrect note ",Functionally it was the exact same.,It appeals to me in how easy it is the create and to analyze data. It also only has one device.  Nothing doesn't appeal to me.,"It helped me learn about the merits of doing the full representation of the scenario and the simplest representation. Each way is great, but I definetly prefer the most efficient sampler. ","It appeals to me because it is the full representation of the scenario given. It doesn't appeal to me because it is more complicated and unnecessary, especially when analyzing the data.",Helped me still understand the merits of the full representation of the scenario.,"A stacks sampler with replacement which has one stack to represent a correct note, and another to represent an incorrect note ","I was able to understand why some people may find this more appealing than I initially did, which opened me up to other perspectives on the usefulness of this sampler.","I feel like it is unnecssarily complicated - knowing which specific cards remain in each suit isn't particulary important, rather the number of cards. However, it is appealing in the sense that you have more clarity on the trial and can compare trials, and can use this sampler for more functionality in general.",I was able to better understand how the sampler worked because I initially found it a little bit confusing.,8,9,6,8,8,5,4,5,4,4,7,7,5,8,6,10,10,10,9,10
20,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",2,1,,Easy to understand context,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",,"Its simple to see, highlughts correct vs incorrect rather tahn showing every note individually",Helped reinforce how two events can sometimes be represented in one device,"What I chose, easy to understand context",Helped me learn about conditional statements in TinkerPlots ,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",I don't really remember discussing this one.,I really like how accurately it exemplifies the situation. ,I think it showed how useful. chained samplers could be.,5,6,4,4,5,6,6,6,6,6,7,7,5,6,6,6,7,6,5,6
22,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then uses a 1/7 spinner to determine if the student is correct or not. ",3,1,,Close to the real situation,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",,1 correct answer 6 incorrect answers,Simple identify the result,More close to the real situation,More complicated,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",It helped me learn a new way to use the sampler. ,"I like the organization of the stacks and mixers. However, it is a little too busy; I'd prefer to just see the stack instead of both the stack and the mixers.","Again, talking about this helped me learn of a different way to use these samplers.",8,8,10,10,8,10,9,9,8,8,9,8,9,9,7,10,8,7,6,10
24,"Yes, I was present and completed the Music Notes activity.","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",2,1,,"This sampler simulates the two results of music notes, including seven notes","A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ",,This does not appeal to me because it does not give the result of actual note played.,The discussion did support my learning. ,It appeals to me because it simulate both the guessing result and the actual note played.,The discussion supports my learning.,"A linked device with two spinners that first determines the teacher's played note, then determines the student's guessed note. ","It was very helpful that we discussed the setup used in the plot above because I initially used 4 stacks to represent each suit, however the setup I used in 3b after the discussion was much more efficient.","Upon observing the given device, I believe this setup would be useful if you want to figure out not only the frequency that one suit is drawn, but also the number. However, this setup would not be necessary for activity 3 because the worksheet only wanted to know how often hearts are selected.","Although this setup didn't necessarily apply to the problems we were working on the worksheet, it was helpful to learn how to create the second portion of this device that relies on the choice selected in the first part.",10,10,10,10,8,8,9,8,8,9,10,10,10,9,10,9,10,9,9,9
